25时miku,25-ji miku
美树沙耶香（魔法少女小圆）,miki sayaka
美树杉爱九郎（斩服少女）,mikisugi aikurou
米克尔（情热传说）,mikleo (tales)
美琴子（兽耳王国国营放送）,mikoko (kemomimi oukoku kokuei housou)
三隈（舰队Collection）,mikuma (kancolle)
三角久音梅尔（Macross Delta） ,mikumo guynemer
御藏（舰队Collection） ,mikura (kancolle)
梅尔菲·樱叶（银河天使）,milfeulle sakuraba
米利姆·纳瓦（关于我转生变成史莱姆这档事）,milim nava
米拉马克斯韦尔（情热传说）,milla maxwell
米尔希欧蕾·菲里安诺·比斯科迪（DOG DAYS）,millhiore f. biscotti
米莉亚·雷姬（罪恶装备） ,millia rage
米莉·帕尔菲（VTuber）,millie parfait
米莉·艾西弗德（反叛的鲁路修）,milly ashford
米洛（宝可梦）,milo (pokemon)
美纳斯（宝可梦）,milotic
牛奶坦克（宝可梦）,miltank
魅魔（东方Project）,mima (touhou)
谜拟丘（宝可梦）,mimikyu
美美野来未（光之美少女）,mimino kurumi
未森（蔚蓝档案）,mimori (blue archive)
三村加奈子（偶像大师）,mimura kanako
敏敏（ARMS）,min min (arms)
米娜（蔚蓝档案）,mina (blue archive)
水上麻衣（日常）,minakami mai
南千秋（南家三姐妹）,minami chiaki
南花奈（南家三姐妹）,minami kana
南小鸟（Love Live!）,minami kotori
水波玲奈（魔法纪录）,minami rena
南梦芽（SSSS.DYNAZENON）,minami yume
南野奏（光之美少女）,minamino kanade
源赖光（Fate）,minamoto no raikou (fate)
源赖光（泳装枪兵）（Fate）,minamoto no raikou (swimsuit lancer) (fate)
源樱（佐贺偶像是传奇）,minamoto sakura
水濑秋子（Kanon）,minase akiko
水濑伊织（偶像大师）,minase iori
水濑名雪（Kanon）,minase nayuki
湊阿库娅（Hololive）,minato aqua
湊阿库娅（初代服装）（Hololive）,minato aqua (1st costume)
湊阿库娅（水手服）（Hololive）,minato aqua (sailor)
湊阿库娅（校服）（Hololive）,minato aqua (school uniform)
凑智花（萝球社）,minato tomoka
湊友希那（BanG Dream!）,minato yukina
峰不二子（鲁邦三世）,mine fujiko
峰云（舰队Collection）,minegumo (kancolle)
米涅瓦·拉奥·扎比（机动战士高达）,mineva lao zabi
米娜·迪特琳德·威尔克（强袭魔女）,minna-dietlinde wilcke
明尼阿波利斯（碧蓝航线）,minneapolis (azur lane)
箕斗（怪物猎人崛起）,minoto
薄荷布兰曼修（银河天使）,mint blancmanche
负电拍拍（宝可梦）,minun
澪（异度神剑3）,mio (xenoblade)
三田伊吹（弹丸论破）,mioda ibuki
米奥莉奈·雷姆布兰（机动战士高达：水星的魔女）,miorine rembran
米凯拉（艾尔登法环）,miquella (elden ring)
未来（闪乱神乐）,mirai (senran kagura)
米拉米卡尔·丽兰（东方Projec）,miramikaru riran
迷布莉姆（宝可梦）,miriam (pokemon)
米尔科（我的英雄学院）,mirko
御坂妹妹（魔法禁书目录）,misaka imouto
御坂美琴（魔法禁书目录）,misaka mikoto
美坂栞（Kanon）,misaka shiori
番外个体（魔法禁书目录）,misaka worst
美咲（蔚蓝档案）,misaki (blue archive)
岬明乃（高中舰队）,misaki akeno
ミシャグジ（Mishaguji）（东方Projec）,mishaguji
美翔舞（光之美少女）,mishou mai
梦妖魔（宝可梦）,mismagius
伊绪（公主连结！Re:Dive）,misogi (princess connect!)
御园花凛（魔法纪录）,misono karin
美空（公主连结！Re:Dive）,misora (princess connect!)
好运小姐（英雄联盟）,miss fortune (league of legends)
米斯特（火焰纹章）,mist (fire emblem)
小霞（宝可梦）,misty (pokemon)
美墨渚（光之美少女）,misumi nagisa
米塔（Miside）,mita (miside)
三鹰朝（电锯人）,mitaka asa
美竹兰（BanG Dream!）,mitake ran
ミテイル（Miteiru）（白上吹雪）(VTuber),miteiru (shirakami fubuki)
米斯伦（迷宫饭）,mithrun
米斯伦（年轻版）（迷宫饭）,mithrun (young)
三头慧之子（东方Projec）,mitsugashira enoko
深月菲莉希亚（魔法纪录 魔法少女小圆外传）,mitsuki felicia
三峰結華（偶像大师 闪耀色彩）,mitsumine yuika
御剣冥夜（Muv-Luv Alternative）,mitsurugi meiya
三浦梓（偶像大师）,miura azusa
宮藤芳佳（强袭魔女）,miyafuji yoshika
宮川高嶺（突击百合）,miyagawa takane
宫城凉田（灌篮高手）,miyagi ryouta
月雪宫子（碧蓝档案）,miyako (blue archive)
月雪宫子（泳装）（碧蓝档案）,miyako (swimsuit) (blue archive)
宫古芳香（十种欲望）,miyako yoshika
宫水三叶（你的名字）,miyamizu mitsuha
宫森葵（白箱）,miyamori aoi
弗雷德丽卡·宫本（偶像大师 灰姑娘女孩）,miyamoto frederica
宫本八织（Fate）,miyamoto iori (fate)
宫本武藏（Fate）,miyamoto musashi (fate)
宫本武藏（第一灵基）（Fate）,miyamoto musashi (first ascension) (fate)
宫本武藏（第二灵基）（Fate）,miyamoto musashi (second ascension) (fate)
宫本武藏（泳装狂战士）（Fate）,miyamoto musashi (swimsuit berserker) (fate)
宫本武藏（泳装狂战士）（第二灵基）（Fate）,miyamoto musashi (swimsuit berserker) (second ascension) (fate)
宫本武藏(第三灵基)(Fate),miyamoto musashi (third ascension) (fate)
宮下愛（Love Live！）,miyashita ai
宫内莲华（悠哉日常大王）,miyauchi renge
宫浦三汐（The STCKHLM やます ）,miyaura sanshio
宫园香织（四月是你的谎言）,miyazono kawori
霞泽美优（蔚蓝档案）,miyu (blue archive)
霞泽美优（泳装版）（蔚蓝档案）,miyu (swimsuit) (blue archive)
艾德费尔特（Fate）,miyu edelfelt
艾德费尔特（野兽形态）（Fate）,miyu edelfelt (beast style)
艾德费尔特（魔法少女）（Fate）,miyu edelfelt (magical girl)
深雪（舰队Collection）,miyuki (kancolle)
一之濑千鹤（租借女友）,mizuhara chizuru
水原暦（阿兹漫画大王）,mizuhara koyomi
水桥帕西（东方Project）,mizuhashi parsee
瑞穗（舰队Collection）,mizuho (kancolle)
水木（明日方舟）,mizuki (arknights)
水木聖來（偶像大师）,mizuki seira
瑞树雪风（对魔忍雪风）,mizuki yukikaze
水本由香里（偶像大师）,mizumoto yukari
水无灯里（水星领航员）,mizunashi akari
水野爱（佐贺偶像是传奇）,mizuno ai
水野亞美（美少女战士）,mizuno ami
水泽真央（Kimikiss）,mizusawa mao
水谷絵理（偶像大师）,mizutani eri
莫比乌斯（崩坏3rd）,mobius (honkai impact)
望月（舰队Collection）,mochizuki (kancolle)
望月杏奈（偶像大师）,mochizuki anna
望月千代（Fate）,mochizuki chiyome (fate)
望月穗波（Project SEKAI）,mochizuki honami
望月亮二（女神异闻录 3）,mochizuki ryouji
莫可可深渊花园（命运方舟）,mococo abyssgard
莫可可深渊花园（初始服装）（命运方舟）,mococo abyssgard (1st costume)
摩登尼亚（NIKKE: 胜利女神）,modernia (nikke)
莫德乌斯（Helltaker）,modeus (helltaker)
风仓萌（蔚蓝档案）,moe (blue archive)
风仓萌（泳装）（蔚蓝档案）,moe (swimsuit) (blue archive)
最上（舰队Collection）,mogami (kancolle)
最上静香（偶像大师）,mogami shizuka
莫莫（NIKKE: 胜利女神）,momo (nikki)
莫莫·贝利亚·德维路克（To Love Ru）,momo velia deviluke
百江渚（魔法少女小圆）,momoe nagisa
百江渚（魔法少女）（魔法少女小圆）,momoe nagisa (magical girl)
百姬（朧村正）,momohime
彩叶桃井（蔚蓝档案）,momoi (blue archive)
彩叶桃井（女仆）（蔚蓝档案）,momoi (maid) (blue archive)
桃井爱莉（初音未来：彩色舞台！）,momoi airi
由良木桃花（蔚蓝档案）,momoka (blue archive)
桃瀬銀子（Yuri is My Job!）,momose ginko
桃鈴奈奈（VTuber）,momosuzu nene
桃铃奈奈（初始服装）（VTuber）,momosuzu nene (1st costume)
桃田海斗（弹丸论破 V3）,momota kaito
愛桃園（光之美少女）,momozono love
Mon3tr（明日方舟）,mon3tr (arknights)
占星家莫娜·梅吉斯托斯（原神）,mona (genshin impact)
莫娜（瓦里奥制造）,mona (warioware)
君主（碧蓝航线）,monarch (azur lane)
莫妮卡（心跳文学部！）,monika (doki doki literature club)
莫妮卡（公主连接！Re:Dive）,monika weisswind
蒙奇·D·路飞（海贼王）,monkey d. luffy
莫诺科（单色女孩）,monoko
黑白熊（弹丸论破）,monokuma
莫诺米（弹丸论破2）,monomi (danganronpa)
物部爱丽丝（VTuber）,mononobe alice
物部布都（东方Project）,mononobe no futo
怪物猎人（默认角色）,monster hunter (character)
莫古利（最终幻想）,moogle
穆纳·霍什诺娃（Hololive Indonesia）,moona hoshinova
穆纳·霍什诺娃（初始服装）（Hololive Indonesia）,moona hoshinova (1st costume)
月光花（东方Project）,moonlight flower
驼鹿（兽娘动物园）,moose (kemono friends)
莫拉格·拉黛尔（异度之刃2）,morag ladair (xenoblade)
莫德雷德（Fate）,mordred (fate)
莫德雷德（Fate/Apocrypha）,mordred (fate/apocrypha)
莫德雷德（泳装骑士）（Fate）,mordred (swimsuit rider) (fate)
摩根（女性版）（火纹觉醒）,morgan (female) (fire emblem)
摩根（火纹觉醒）,morgan (fire emblem)
摩根·勒·菲（Fate）,morgan le fay (fate)
莫甘娜（女神异闻录 5）,morgana (persona 5)
莫尔吉安娜(魔笛MAGI),morgiana
森美声（Hololive）,mori calliope
森美声（初始服装）（Hololive）,mori calliope (1st costume)
森美声（睡衣）（Hololive）,mori calliope (sleepwear)
森美声（外出服）（Hololive）,mori calliope (streetwear)
森雪（宇宙战舰大和号 2199）,mori yuki
森近霖之助（东方Project）  ,morichika rinnosuke
森久保乃乃（偶像大师灰姑娘女孩）,morikubo nono
森中花咲（彩虹社）,morinaka kazaki
杜野凛世（偶像大师 闪耀色彩）,morino rinze
守泽千秋（偶像梦幻祭）,morisawa chiaki
森岛遥（圣诞之吻）,morishima haruka
泄矢诹访子（东方Project）  ,moriya suwako
诸星琪拉莉（偶像大师灰姑娘女孩）,moroboshi kirari
莫鲁贝可（宝可梦）  ,morpeko
莫鲁贝可（饱腹形态）（宝可梦）  ,morpeko (full)
莫莉卡·安斯兰特（恶魔战士）,morrigan aensland
小茂（宝可梦）  ,morty (pokemon)
莫斯提马（明日方舟）  ,mostima (arknights)
本居小铃（东方Project）  ,motoori kosuzu
山（明日方舟）,mountain (arknights)
毛利元就（战国BASARA）  ,mouri motonari (sengoku basara)
毛利兰（名侦探柯南）  ,mouri ran
貊泽（崩坏：星穹铁道）,moze (honkai  star rail)
MP40（少女前线）  ,mp40 (girls' frontline)
MP7（少女前线）  ,mp7 (girls' frontline)
千明代表（赛马娘）,mr. c.b. (umamusume)
Mr. Crawling,mr. crawling
吱吱先生（Hakos Baelz）  ,mr. squeaks (hakos baelz)
财富小姐（骷髅女孩）,ms. fortune (skullgirls)
μ-12（苍翼默示录）  ,mu-12
玛拉妮（原神）,mualani (genshin impact)
水跃鱼（宝可梦）  ,mudkip
泥岩（明日方舟）  ,mudrock (arknights)
泥岩精英Ⅱ（明日方舟）  ,mudrock (elite ii) (arknights)
泥岩黑曜石（明日方舟）  ,mudrock (obsidian) (arknights)
泥岩寂静午夜（明日方舟）  ,mudrock (silent night) (arknights)
缪尔赛思（明日方舟）  ,muelsyse (arknights)
麦野沈利（某科学的超电磁炮）  ,mugino shizuri
MUJINA,mujina
向井拓海（偶像大师灰姑娘女孩）,mukai takumi
向井户爱花（来自风平浪静的明天）,mukaido manaka
桑葚（明日方舟）  ,mulberry (arknights)
无名（甲铁城的卡巴内利）  ,mumei (kabaneri)
栋方爱海（偶像大师灰姑娘女孩）,munakata atsumi
村上巴（偶像大師灰姑娘女孩）,murakami tomoe
丛云（舰队Collection）  ,murakumo (kancolle)
丛云改二（舰队Collection）  ,murakumo kai ni (kancolle)
村野沙耶香（莲之空女学院学园偶像俱乐部）,murano sayaka
村纱水蜜（东方Project）  ,murasa minamitsu
紫（闪乱神乐）  ,murasaki (senran kagura)
紫式部（Fate）,murasaki shikibu (fate)
紫式部一破（Fate）,murasaki shikibu (first ascension) (fate)
紫式部泳装骑阶（Fate）,murasaki shikibu (swimsuit rider) (fate)
紫咲诗音（Hololive）  ,murasaki shion
紫咲诗音（初始服装）（Hololive）,murasaki shion (1st costume)
紫咲诗音哥特萝莉（Hololive）  ,murasaki shion (gothic lolita)
村雨（舰队Collection）  ,murasame (kancolle)
丛雨（千恋＊万花）,murasame (senren)
村雨改二（舰队Collection）  ,murasame kai ni (kancolle)
无量塔姬子（崩坏3rd）  ,murata himeko
武藏（碧蓝航线）  ,musashi (azur lane)
武藏（舰队Collection）  ,musashi (kancolle)
武藏改（舰队Collection）  ,musashi kai (kancolle)
武藏改二（舰队Collection）  ,musashi kai ni (kancolle)
武巫女巴（女皇之刃）,musha miko tomoe
梦梦蚀（宝可梦）  ,musharna
武藤游戏（游戏王）  ,muto yugi
陆奥（舰队Collection）  ,mutsu (kancolle)
陆奥改二（舰队Collection）  ,mutsu kai ni (kancolle)
陆奥守吉行（碧蓝幻想）,mutsu-no-kami yoshiyuki
睦月（碧蓝航线）,mutsuki (azur lane)
睦月（蔚蓝档案）  ,mutsuki (blue archive)
睦月礼服（蔚蓝档案）  ,mutsuki (dress) (blue archive)
睦月（舰队Collection）  ,mutsuki (kancolle)
睦月新年（蔚蓝档案）  ,mutsuki (new year) (blue archive)
睦月改二（舰队Collection）  ,mutsuki kai ni (kancolle)
美乐蒂（三丽鸥）  ,my melody
美莲·吉纳斯（超时空要塞）  ,mylene jenius
明堂院树（HeartCatch光之美少女！）,myoudouin itsuki
妙高（舰队Collection）  ,myoukou (kancolle)
妙高改二（舰队Collection）  ,myoukou kai ni (kancolle)
梅尔（火焰纹章）,myrrh (fire emblem)
桃金娘（明日方舟）  ,myrtle (arknights)
Mysta Rias（彩虹社）,mysta rias
谜之女主角X（Fate）,mysterious heroine x (fate)
谜之女主角X Alter（Fate）,mysterious heroine x alter (fate)
谜之女主角X Alter一破（Fate）,mysterious heroine x alter (first ascension) (fate)
谜之女主角X Alter二破（Fate）,mysterious heroine x alter (second ascension) (fate)
谜之女主角XX（Fate）,mysterious heroine xx (fate)
米斯蒂娅·萝蕾拉（东方Project）,mystia lorelei
光（异度神剑2）,mythra (massive melee) (xenoblade)
光·泳装（异度神剑2）,mythra (radiant beach) (xenoblade)
光（异度神剑2）,mythra (xenoblade)
N（宝可梦）,n (pokemon)
那智（舰队Collection）  ,nachi (kancolle)
那智改二（舰队Collection）  ,nachi kai ni (kancolle)
苗木困（弹丸论破）  ,naegi komaru
苗木诚（弹丸论破）  ,naegi makoto
娜嘉（胜利女神：妮姬）,naga (nikke)
白蛇娜卡（秀逗魔导士）,naga the serpent
永江衣玖（东方Project）,nagae iku
长波（舰队Collection）  ,naganami (kancolle)
长波改二（舰队Collection）  ,naganami kai ni (kancolle)
长野原美绪（日常）  ,naganohara mio
纳甘左轮（少女前线）  ,nagant revolver (girls' frontline)
长尾景虎（Fate）,nagao kagetora (fate)
长良（舰队Collection）  ,nagara (kancolle)
长崎素世（BanG Dream!）  ,nagasaki soyo
长门（碧蓝航线）  ,nagato (azur lane)
长门（舰队Collection）  ,nagato (kancolle)
长门改二（舰队Collection）  ,nagato kai ni (kancolle)
长门有希（凉宫春日的忧郁）  ,nagato yuki
长瀞早濑（不要欺负我，长瀞同学）  ,nagatoro hayase
长月（舰队Collection）  ,nagatsuki (kancolle)
永吉昴（偶像大师百万现场）,nagayoshi subaru
薙（神薙）,nagi (kannagi)
桐藤渚（蔚蓝档案）,nagisa (blue archive)
渚薰（新世纪福音战士）  ,nagisa kaworu
和实由依（Delicious Party 光之美少女）,nagomi yui
南云晴矢（闪电十一人）,nagumo haruya
纳西妲（原神）  ,nahida (genshin impact)
奈何（女性）（头七诡谈）  ,naihe (female) (touqi guaitan)
那珂（舰队Collection）  ,naka (kancolle)
那珂改二（舰队Collection）  ,naka kai ni (kancolle)
中川夏纪（吹响！上低音号）,nakagawa natsuki
仲村由理（Angel Beats!）,nakamura yuri
中野梓（轻音少女）  ,nakano azusa
中野一花（五等分的新娘）  ,nakano ichika
中野五月（五等分的新娘）  ,nakano itsuki
中野三玖（五等分的新娘）  ,nakano miku
中野二乃（五等分的新娘）,nakano nino
中野四叶（五等分的新娘）,nakano yotsuba
中须霞（LoveLive!虹咲学园学园偶像同好会）  ,nakasu kasumi
中多纱江（圣诞之吻）,nakata sae
中津静流（Rewrite）  ,nakatsu shizuru
中山庆典（赛马娘）  ,nakayama festa (umamusume)
薙切爱丽丝（食戟之灵）  ,nakiri alice
百鬼绫目（Hololive）  ,nakiri ayame
百鬼绫目（初始服装）（Hololive）,nakiri ayame (1st costume)
百鬼绫目（私服）（Hololive）  ,nakiri ayame (streetwear)
薙切绘里奈（食戟之灵）  ,nakiri erina
娜可露露（侍魂）  ,nakoruru
鲶尾藤四郎（刀剑乱舞）,namazuo toushirou
娜美（航海王）  ,nami (one piece)
娜米妮（王国之心）  ,namine
娜娜·阿丝达·戴比路克（出包王女）  ,nana asta deviluke
娜娜奇（来自深渊）  ,nanachi (made in abyss)
七草叶月（偶像大师闪耀色彩）,nanakusa hazuki
七草荠（彻夜之歌）,nanakusa nazuna (yofukashi no uta)
七实（战双帕弥什）  ,nanami (pgr)
七海千秋（弹丸论破）  ,nanami chiaki
七海建人（咒术回战）  ,nanami kento
七海露西亚（人鱼的旋律）,nanami lucia
七海灯子（终将成为你）  ,nanami touko
七海八千代（魔法纪录）  ,nanami yachiyo
七尾百合子（偶像大师百万现场）,nanao yuriko
七咲逢（女友伴身边）,nanasaki ai
七诗无铭（Hololive）,nanashi mumei
七诗无铭（初始服装）（Hololive）,nanashi mumei (1st costume)
七诗无铭·私服（Hololive）,nanashi mumei (casual)
七诗无铭·Emo（Hololive）,nanashi mumei (emo)
南条光（偶像大师灰姑娘女孩）,nanjo hikaru
娜儿（洛奇）,nao (mabinogi)
直井文人（Angel Beats!）,naoi ayato
直树美纪（学园孤岛）,naoki miki (gakkou gurashi!)
直子（lynus）,naoko (lynus)
拿破仑（Fate系列）,napoleon bonaparte (fate)
纳鲁西索·安娜苏（JOJO的奇妙冒险）,narciso anasui
成田白仁（赛马娘）,narita brian (umamusume)
成田大进（赛马娘）,narita taishin (umamusume)
成田路（赛马娘）,narita top road (umamusume)
娜露梅亚（碧蓝幻想）,narmaya (granblue fantasy)
娜露梅亚·夏日（碧蓝幻想）,narmaya (summer) (granblue fantasy)
鸣上悠（女神异闻录4）,narukami yuu
鸣子（火影忍者）,naruko (naruto)
成宫由爱（偶像大师灰姑娘女孩）,narumiya yume
成泽棱歌（超自然9人组）,narusawa ryouka
鸣濑白羽（Summer Pockets）,naruse shiroha
娜塔莉亚·鲁兹·金拉斯卡·兰巴尔迪亚（深渊传说）,natalia luzu kimlasca lanvaldear
共平（宝可梦）,nate (pokemon)
名取纱那（VTuber）,natori sana
柚鸟夏（乐团）（碧蓝档案）,natsu (band) (blue archive)
柚鸟夏（碧蓝档案）,natsu (blue archive)
纳兹·多拉格尼尔（妖精的尾巴）,natsu dragneel
奈津惠（请问您今天要来点兔子吗？）,natsu megumi
夏色祭（Hololive）,natsuiro matsuri
夏色祭（初始服装）（Hololive）,natsuiro matsuri (1st costume)
夏色祭·私服（Hololive）,natsuiro matsuri (casual)
夏色祭·休假模式（Hololive）,natsuiro matsuri (matsuri's day off)
夏树（心跳文学部）,natsuki (doki doki literature club)
夏色花梨（Synthesizer V）,natsuki karin
夏木玲（YES!光之美少女5）,natsuki rin
菜月昴（Re:从零开始的异世界生活）,natsuki subaru
枣恭介（Little Busters!）,natsume kyousuke
枣 铃（Little Busters!）,natsume rin
夏海真夏（Tropical-Rouge！光之美少女）,natsuumi manatsu
天然雀（宝可梦）,natu
娜维娅（原神）,navia (genshin impact)
娜兹琳（东方Project）  ,nazrin
NE级重巡洋舰（碧蓝航线）  ,ne-class heavy cruiser
临光（明日方舟）  ,nearl (arknights)
耀骑士临光（明日方舟）  ,nearl the radiant knight (arknights)
妮蔻（英雄联盟）  ,neeko (league of legends)
尼飞比特（全职猎人）  ,neferpitou
内格夫（少女前线）,negev (girls' frontline)
nekko（桃铃音音）,nekko (momosuzu nene)
凑阿库娅猫娘形态（Hololive）  ,neko (minato aqua)
猫又小粥（Hololive）  ,nekomata okayu
猫又小粥（初始服装）（Hololive）,nekomata okayu (1st costume)
猫又小粥 常服（Hololive）  ,nekomata okayu (casual)
猫又小粥 宽松衬衫（Hololive）  ,nekomata okayu (oversized shirt)
猫宫日向（虚拟主播）  ,nekomiya hinata
猫宫又奈（绝区零）,nekomiya mana
猫娘（鬼太郎系列）,nekomusume (gegege no kitarou)
猫娘（第5作 咯咯咯鬼太郎）  ,nekomusume (gegege no kitarou 5)
猫娘（第6作 咯咯咯鬼太郎）  ,nekomusume (gegege no kitarou 6)
猫汰月奈（VSPO）,nekota tsuna
猫屋敷麻友（Wonderful光之美少女！）,nekoyashiki mayu
猫屋敷雪（Wonderful光之美少女！）,nekoyashiki yuki
纳尔逊（碧蓝航线）  ,nelson (azur lane)
纳尔逊（舰队Collection）  ,nelson (kancolle)
尼莫（Fate/Grand Order）  ,nemo (fate)
妮莫（宝可梦 朱/紫）  ,nemona (pokemon)
根元阳菜（我不受欢迎，怎么想都是你们的错！）,nemoto hina
妮娜·崔尼帝（机动战士高达00）  ,nena trinity
子日（舰队Collection）  ,nenohi (kancolle)
新宇宙（赛马娘）  ,neo universe (umamusume)
尼恩（胜利女神：妮姬）  ,neon (nikke)
涅普姬雅（超次元游戏海王星）  ,nepgear
涅普顿（碧蓝航线）,neptune (azur lane)
涅普顿（超次元游戏海王星）  ,neptune (neptunia)
奈莉奈（Shuffle!）,nerine (shuffle)
莉莎·兰温克罗芙特（HOLOLIVE EN）  ,nerissa ravencroft
莉莎·兰温克罗芙特（初始服装）（HOLOLIVE EN）,nerissa ravencroft (1st costume)
尼禄（鬼泣）  ,nero (devil may cry)
尼禄·克劳狄乌斯 花嫁（Fate/Grand Order）  ,nero claudius (bride) (fate)
尼禄·克劳狄乌斯 花嫁二阶段（Fate/Grand Order）  ,nero claudius (bride) (second ascension) (fate)
尼禄·克劳狄乌斯 花嫁三阶段（Fate/Grand Order）  ,nero claudius (bride) (third ascension) (fate)
尼禄·克劳狄乌斯（Fate）,nero claudius (fate)
尼禄·克劳狄乌斯（Fate/EXTRA）  ,nero claudius (fate/extra)
尼禄·克劳狄乌斯 奥林匹亚短裤（Fate/Grand Order）  ,nero claudius (olympian bloomers) (fate)
尼禄·克劳狄乌斯 泳装魔术师（Fate/Grand Order）  ,nero claudius (swimsuit caster) (fate)
尼禄·克劳狄乌斯 泳装魔术师三阶段（Fate/Grand Order）  ,nero claudius (swimsuit caster) (third ascension) (fate)
美甘宁瑠（蔚蓝档案）,neru (blue archive)
美甘宁瑠 兔女郎（蔚蓝档案）,neru (bunny) (blue archive)
奈斯（地球冒险2）  ,ness (mother 2)
露璃娜（宝可梦 剑/盾）,nessa (pokemon)
Netzach（脑叶公司）  ,netzach (project moon)
中立混沌（刺猬索尼克系列）  ,neutral chao
那维莱特（原神）  ,neuvillette (genshin impact)
新泽西（碧蓝航线）  ,new jersey (azur lane)
花园·跃动的舞台时间！（碧蓝航线）,new jersey (exhilarating steps!) (azur lane)
尼娅 异刃形态（异度神剑2）,nia (blade) (xenoblade)
尼娅（异度神剑2）,nia (xenoblade)
尼娅·特佩琳（天元突破红莲螺岩）,nia teppelin
年（明日方舟）  ,nian (arknights)
年 自在逍遥（明日方舟）  ,nian (unfettered freedom) (arknights)
丹生谷森夏（中二病也要谈恋爱！）  ,nibutani shinka
优秀素质·啦啦队（赛马娘）,nice nature (run&win) (umamusume)
优秀素质（赛马娘）,nice nature (umamusume)
妮可·罗宾（海贼王）  ,nico robin
妮可·德玛拉（绝区零）,nicole demara
奈德丽（英雄联盟）  ,nidalee
尼尔 哥哥（尼尔：人工生命）  ,nier (brother)
尼娅（碧蓝幻想）,nier (granblue fantasy)
夜莺（明日方舟）  ,nightingale (arknights)
虚吾伊德（宝可梦）  ,nihilego
新岛真（女神异闻录5）  ,niijima makoto
虹之丘真白（美妙宠物光之美少女！）,nijigaoka mashiro
虹野梦（偶像活动）,nijino yume
二条乃梨子（圣母在上）,nijou noriko
二阶堂咲（佐贺偶像是传奇）  ,nikaidou saki
妮可（蔚蓝档案）,niko (blue archive)
妮露 沙中浮梦（原神）  ,nilou (breeze of sabaa) (genshin impact)
妮露（原神）  ,nilou (genshin impact)
狐坂Nina（彩虹社）,nina kosaka
宁海（碧蓝航线）  ,ning hai (azur lane)
凝光（原神）  ,ningguang (genshin impact)
妮妮安（火焰纹章）  ,ninian (fire emblem)
忍者（最终幻想14）  ,ninja (final fantasy)
妮诺（火焰纹章if）  ,nino (fire emblem)
一伊那尔栖（HOLOLIVE EN）  ,ninomae ina'nis
一伊那尔栖（初始服装）（HOLOLIVE EN）,ninomae ina'nis (1st costume)
一伊那尔栖 常服（HOLOLIVE EN）  ,ninomae ina'nis (casual)
一伊那尔栖 居家服（HOLOLIVE EN）  ,ninomae ina'nis (loungewear)
二宫飞鸟（偶像大師灰姑娘女孩）,ninomiya asuka
西绢代（少女与战车）,nishi kinuyo
尔子田里乃（东方Project）,nishida satono
锦木千束（莉可丽丝）  ,nishikigi chisato
西木野真姬（LoveLive!）  ,nishikino maki
西広蒂蒂酱（VTuber）,nishikitaitei-chan
西宫硝子（声之形）  ,nishimiya shouko
西野花（赛马娘）  ,nishino flower (umamusume)
西住真穗（少女与战车）  ,nishizumi maho
西住美穗（少女与战车）  ,nishizumi miho
西住志穗（少女与战车）,nishizumi shiho
日进（舰队Collection）,nisshin (kancolle)
尼托克丽丝（Fate系列）,nitocris (fate)
新田美波（偶像大师灰姑娘女孩）,nitta minami
庭渡久诧歌（东方Project）,niwatari kutaka
生盐诺亚（碧蓝档案）,noa (blue archive)
生盐诺亚（睡衣Ver.）（碧蓝档案）,noa (pajamas) (blue archive)
诺贝塔（小魔女诺贝塔）,nobeta
野比大雄（哆啦A梦）,nobi nobita
诺爱尔·梵米利昂（苍翼默示录）,noel vermillion
诺艾尔（原神）,noelle (genshin impact)
诺艾尔·西尔法（黑色五叶草）,noelle silva
野井原绯鞠（守护猫娘绯鞠）,noihara himari
诺瓦露（超次元游戏海王星）,noire (neptunia)
非人提督（舰队Collection）,non-human admiral (kancolle)
农娜（少女与战车）,nonna (girls und panzer)
诺诺（飞跃巅峰2！）,nono (top wo nerae 2!)
野乃花（Hugtto！光之美少女）,nono hana
野野原茜（偶像大师百万现场）,nonohara akane
野野原柚子（悠悠式）,nonohara yuzuko
十六夜野宫（碧蓝档案）,nonomi (blue archive)
十六夜野宫（泳装Ver.）（碧蓝档案）,nonomi (swimsuit) (blue archive)
诺拉·瓦尔基里（RWBY）,nora valkyrie
则卷阿拉蕾（阿拉蕾）,norimaki arale
北卡罗来纳（碧蓝航线）,north carolina (azur lane)
北方栖姬（舰队Collection）,northern ocean princess
北白脸鸮（兽娘动物园）,northern white-faced owl (kemono friends)
能代（碧蓝航线）,noshiro (azur lane)
能代（舰队Collection）,noshiro (kancolle)
能美库特莉亚芙卡（Little Busters!）,noumi kudryavka
野分（舰队Collection）,nowaki (kancolle)
诺诺（火焰之纹章）,nowi (fire emblem)
野崎梅太郎（月刊少女野崎君）,nozaki umetarou
橘 望（碧蓝档案）,nozomi (blue archive)
樱井望（公主连结Re:Dive）,nozomi (princess connect!)
NTW-20（少女前线）,ntw-20 (girls' frontline)
Nu-13（苍翼默示录）,nu-13
纽伊·索西艾瑞（彩虹社）,nui sociere
纽伊·索西艾瑞（初始服装）（彩虹社）,nui sociere (1st costume)
账账（崩坏：星穹铁道）,numby (honkai  star rail)
娜娜莉·V·布里塔尼亚（反叛的鲁路修）,nunnally vi britannia
童谣（Fate系列）,nursery rhyme (fate)
